batter,balls,strikes,outs_when_up,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_class,home,half_inning,year,month,day,base_runner_class,if_alignment_class,of_alignment_class
656541,0,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,15,3,0,0,0,0,2,0,4,2021,4,17,5,3,1
656541,0,1,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,15,2,0,0,0,0,2,0,4,2021,4,17,5,3,1
656541,0,0,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,15,1,0,0,0,0,2,0,4,2021,4,17,5,3,1
658069,2,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,14,6,0,0,0,0,1,0,4,2021,4,17,5,1,1
658069,2,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,14,5,0,0,0,0,1,0,4,2021,4,17,5,1,1
658069,2,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,14,4,0,0,0,0,1,0,4,2021,4,17,5,1,1
658069,1,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,14,3,0,0,0,0,1,0,4,2021,4,17,5,1,1
658069,0,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,14,2,0,0,0,0,1,0,4,2021,4,17,5,1,1
658069,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,14,1,0,0,0,0,1,0,4,2021,4,17,5,1,1
543068,3,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,13,6,0,0,0,0,1,0,4,2021,4,17,3,3,1
543068,3,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,13,5,0,0,0,0,1,0,4,2021,4,17,3,3,1
543068,2,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,13,4,0,0,0,0,1,0,4,2021,4,17,3,3,1
543068,1,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,13,3,0,0,0,0,1,0,4,2021,4,17,3,3,1
543068,1,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,13,2,0,0,0,0,1,0,4,2021,4,17,3,3,1
543068,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,13,1,0,0,0,0,1,0,4,2021,4,17,3,3,1
453568,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,12,1,0,0,0,0,2,0,4,2021,4,17,1,3,1
596115,2,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,8,5,0,0,0,0,1,0,2,2021,4,17,1,3,1
596115,1,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,8,4,0,0,0,0,1,0,2,2021,4,17,1,3,1
596115,0,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,8,3,0,0,0,0,1,0,2,2021,4,17,1,3,1
596115,0,1,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,8,2,0,0,0,0,1,0,2,2021,4,17,1,3,1
596115,0,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,8,1,0,0,0,0,1,0,2,2021,4,17,1,3,1
641857,2,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,7,5,0,0,0,0,2,0,2,2021,4,17,1,3,1
641857,1,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,7,4,0,0,0,0,2,0,2,2021,4,17,1,3,1
641857,0,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,7,3,0,0,0,0,2,0,2,2021,4,17,1,3,1
641857,0,1,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,7,2,0,0,0,0,2,0,2,2021,4,17,1,3,1
641857,0,0,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,7,1,0,0,0,0,2,0,2,2021,4,17,1,3,1
606132,3,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,6,5,0,0,0,0,2,0,2,2021,4,17,1,2,1
606132,3,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,6,4,0,0,0,0,2,0,2,2021,4,17,1,2,1
606132,2,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,6,3,0,0,0,0,2,0,2,2021,4,17,1,2,1
606132,1,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,6,2,0,0,0,0,2,0,2,2021,4,17,1,2,1
606132,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,6,1,0,0,0,0,2,0,2,2021,4,17,1,1,1
572816,0,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,53,5,0,1,1,0,2,1,15,2021,4,10,3,2,1
572816,0,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,53,4,0,1,1,0,2,1,15,2021,4,10,3,1,2
572816,0,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,53,3,0,1,1,0,2,1,15,2021,4,10,3,3,2
572816,0,1,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,53,2,0,1,1,0,2,1,15,2021,4,10,3,3,1
572816,0,0,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,53,1,0,1,1,0,2,1,15,2021,4,10,3,3,1
594807,0,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,52,3,0,1,1,0,1,1,15,2021,4,10,1,3,1
594807,0,1,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,52,2,0,1,1,0,1,1,15,2021,4,10,1,3,1
594807,0,0,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,52,1,0,1,1,0,1,1,15,2021,4,10,1,3,1
595453,1,2,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,51,4,0,1,1,0,1,1,15,2021,4,10,1,1,1
595453,1,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,51,3,0,1,1,0,1,1,15,2021,4,10,1,1,1
595453,1,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,51,2,0,1,1,0,1,1,15,2021,4,10,1,1,1
595453,0,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,51,1,0,1,1,0,1,1,15,2021,4,10,1,1,1
500743,0,0,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,50,1,0,1,1,0,1,1,15,2021,4,10,1,1,1
665862,0,0,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,46,1,0,1,1,0,2,1,13,2021,4,10,1,3,1
605119,1,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,45,3,0,1,1,0,1,1,13,2021,4,10,1,1,1
605119,1,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,45,2,0,1,1,0,1,1,13,2021,4,10,1,1,1
605119,0,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,45,1,0,1,1,0,1,1,13,2021,4,10,1,1,1
643265,0,2,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,44,3,0,1,1,0,1,1,13,2021,4,10,1,1,1
643265,0,1,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,44,2,0,1,1,0,1,1,13,2021,4,10,1,1,1
643265,0,0,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,44,1,0,1,1,0,1,1,13,2021,4,10,1,1,1
542583,0,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,38,4,0,1,1,0,1,1,11,2021,4,10,1,3,1
542583,0,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,38,3,0,1,1,0,1,1,11,2021,4,10,1,3,1
542583,0,1,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,38,2,0,1,1,0,1,1,11,2021,4,10,1,3,1
542583,0,0,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,38,1,0,1,1,0,1,1,11,2021,4,10,1,3,1
516782,2,2,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,37,5,0,1,1,0,1,1,11,2021,4,10,1,1,1
516782,1,2,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,37,4,0,1,1,0,1,1,11,2021,4,10,1,1,1
